Player ID,Playing Level,Squad,Position,DOB (DD/MM/YYYY),Date of Measurement,Age (years),Stature (cm),Body Mass (kg),Temperature (°C),Humidity (%),Pressure (mbar),vIFT (km·hr),Final Stage Avg. Meters Per Second (m·s),Final Stage Distance (m),MAS (km·hr),MAS (m·s),Est. VO2max (ml·min·kg)
player_03,CAT 1 Academy,U18,ST,3/27/2006,"Tuesday, April 16, 2024",18.1,185.5,75.8,10,58,1012,22.0,6.1,183.3,19.14,5.32,56.00
player_09,CAT 1 Academy,U18,ST,5/19/2007,"Tuesday, April 16, 2024",16.9,180.5,79.6,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.21
player_11,CAT 1 Academy,U18,CB,11/21/2006,"Tuesday, April 16, 2024",17.4,193.0,76.4,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.55
player_12,CAT 1 Academy,U18,CB,9/17/2006,"Tuesday, April 16, 2024",17.6,193.2,90.4,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.13
player_05,CAT 1 Academy,U18,CM,12/11/2006,"Tuesday, April 16, 2024",17.3,176.6,71.2,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.71
player_10,CAT 1 Academy,U18,CB,9/7/2005,"Tuesday, April 16, 2024",18.6,190.5,73.0,10,58,1012,20.5,5.7,170.8,17.84,4.95,53.22
player_13,CAT 1 Academy,U18,FB,12/1/2006,"Tuesday, April 16, 2024",17.4,176.0,74.4,10,58,1012,20.5,5.7,170.8,17.84,4.95,52.61
player_01,CAT 1 Academy,U18,CM,1/29/2007,"Tuesday, April 16, 2024",17.2,181.0,72.8,10,58,1012,21.0,5.8,175.0,18.27,5.08,53.61
player_02,CAT 1 Academy,U18,CB,9/19/2005,"Tuesday, April 16, 2024",18.6,182.4,75.3,10,58,1012,21.5,6.0,179.2,18.71,5.20,55.24
player_06,CAT 1 Academy,U18,CM,8/9/2007,"Tuesday, April 16, 2024",16.7,170.0,66.8,10,58,1012,21.5,6.0,179.2,18.71,5.20,54.57
player_04,CAT 1 Academy,U18,AM,4/9/2006,"Tuesday, April 16, 2024",18.0,176.8,69.6,10,58,1012,22.0,6.1,183.3,19.14,5.32,56.20
player_07,CAT 1 Academy,U18,FB,10/29/2006,"Tuesday, April 16, 2024",17.5,176.0,65.8,10,58,1012,22.0,6.1,183.3,19.14,5.32,56.04
player_14,NL Academy,U19,CB,11/14/2006,"Friday, July 19, 2024",17.7,182.4,84.4,26,50,1013,19.5,5.4,162.5,16.97,4.71,50.32
player_15,NL Academy,U19,WM,2/11/2007,"Friday, July 19, 2024",17.4,180.9,80.0,26,50,1013,19,5.3,158.3,16.53,4.59,49.36
player_16,NL Academy,U19,FB,10/14/2007,"Friday, July 19, 2024",16.8,171.8,68.4,26,50,1013,19,5.3,158.3,16.53,4.59,49.52
player_17,NL Academy,U19,WM,4/7/2007,"Friday, July 19, 2024",17.3,171.8,62.8,26,50,1013,19.5,5.4,162.5,16.97,4.71,50.94
player_18,NL Academy,U19,CM,12/11/2006,"Friday, July 19, 2024",17.6,175.9,66.6,26,50,1013,21,5.8,175.0,18.27,5.08,54.02
player_19,NL Academy,U19,ST,1/29/2008,"Friday, July 19, 2024",16.5,176.8,76.6,26,50,1013,19,5.3,158.3,16.53,4.59,49.12
player_20,NL Academy,U19,FB,6/20/2007,"Friday, July 19, 2024",17.1,174.4,66.4,26,50,1013,21,5.8,175.0,18.27,5.08,53.77
player_21,NL Academy,U19,ST,9/29/2007,"Friday, July 19, 2024",16.8,174.9,65.6,26,50,1013,19.5,5.4,162.5,16.97,4.71,50.64
player_22,NL Academy,U19,WM,9/11/2007,"Friday, July 19, 2024",16.9,177.1,70.0,26,50,1013,20.5,5.7,170.8,17.84,4.95,52.52
player_23,NL Academy,U19,CM,4/13/2007,"Friday, July 19, 2024",17.3,182.2,66.6,26,50,1013,21,5.8,175.0,18.27,5.08,53.86
player_24,NL Academy,U19,CB,10/31/2007,"Friday, July 19, 2024",16.7,185.0,77.2,26,50,1013,19,5.3,158.3,16.53,4.59,49.19
player_25,NL Academy,U19,GK,9/25/2006,"Friday, July 19, 2024",17.8,177.1,76.2,26,50,1013,19,5.3,158.3,16.53,4.59,49.63
player_26,NL Academy,U19,CM,9/6/2006,"Friday, July 19, 2024",17.9,175.0,63.4,26,50,1013,21.5,6.0,179.2,18.71,5.20,55.30
player_27,NL Academy,U19,ST,10/30/2006,"Friday, July 19, 2024",17.7,176.0,72.2,26,50,1013,22,6.1,183.3,19.14,5.32,55.95
player_28,NL Academy,U19,WM,3/24/2008,"Friday, July 19, 2024",16.3,172.0,60.0,26,50,1013,21,5.8,175.0,18.27,5.08,53.63
player_29,NL Academy,U19,CM,7/12/2008,"Friday, July 19, 2024",16.0,179.8,69.4,26,50,1013,20.5,5.7,170.8,17.84,4.95,52.16
player_30,NL Academy,U19,FB,5/19/2007,"Friday, July 19, 2024",17.2,171.8,70.8,26,50,1013,20,5.6,166.7,17.40,4.83,51.62
player_31,NL Academy,U19,WM,6/9/2007,"Friday, July 19, 2024",17.1,183.0,66.8,26,50,1013,20.5,5.7,170.8,17.84,4.95,52.76
player_32,NL Academy,U19,CM,3/24/2008,"Friday, July 19, 2024",16.3,179.8,74.0,26,50,1013,20.5,5.7,170.8,17.84,4.95,52.14
player_33,NL Academy,U19,CB,4/2/2007,"Friday, July 19, 2024",17.3,184.5,85.6,26,50,1013,19.5,5.4,162.5,16.97,4.71,50.13
player_34,NL Academy,U19,CM,2/1/2009,"Friday, August 30, 2024",15.6,180.5,62.8,17,82,1028,20.0,5.6,166.7,17.40,4.83,51.22
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
